ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
TCGA-XR-A8TC-01A-11R-A36F-07	0.54158042	1.238377272	1.413878823	1.402295972	3.016529165	1.496237227	5.69825432	Tumor
TCGA-DD-AADP-01A-11R-A39D-07	0.420373522	1.749625895	1.585656475	0.92268165	2.804194407	2.542256706	5.414778549	Tumor
TCGA-DD-A3A5-01A-11R-A22L-07	0.74969249	2.082599067	1.082131573	1.280183164	2.450302909	2.856838146	7.710695128	Tumor
TCGA-BW-A5NP-01A-11R-A27V-07	0.499880035	1.874427669	1.932690172	2.244422523	3.188900947	2.157062107	9.828142335	Tumor
TCGA-BW-A5NO-01A-11R-A27V-07	0.564518596	2.166837676	1.936452517	1.502154691	1.086182257	2.229365429	11.83679287	Tumor
TCGA-FV-A3I0-01A-11R-A22L-07	1.548633281	1.826939544	2.370141302	2.781773742	0.225883693	3.284496736	21.95785631	Tumor
TCGA-2Y-A9HB-01A-11R-A39D-07	0.645734197	1.413249838	0.963797296	1.513514936	2.362605132	2.284549009	8.348388862	Tumor
TCGA-G3-A25U-01A-11R-A16W-07	0.98354458	1.589506077	1.706412474	1.204864158	1.514866095	0.973207929	8.191123907	Tumor
TCGA-KR-A7K0-01A-12R-A33R-07	0.642267869	1.340604866	1.110410095	1.959254954	2.529128992	3.048285973	11.03123648	Tumor
TCGA-DD-AAC9-01A-11R-A41C-07	0.997511614	1.658809562	1.193166371	1.138964453	2.645534854	3.788739059	8.396722568	Tumor
TCGA-PD-A5DF-01A-11R-A27V-07	0.858936848	1.777897906	1.102891769	1.586308288	1.129276796	3.003798353	12.70282441	Tumor
TCGA-BC-4072-01B-11R-A155-07	0.963742089	1.164468622	0.932410594	2.338414938	2.237766397	2.20978799	12.3237227	Tumor
TCGA-DD-AAD8-01A-11R-A41C-07	1.168783564	1.485181416	1.389287496	1.82540371	0.845235546	3.44132153	15.63177684	Tumor
TCGA-RC-A6M5-01A-11R-A32O-07	0.75979909	1.361097352	0.843328417	2.856999055	1.999776824	2.704322058	15.43548933	Tumor
TCGA-DD-A3A1-01A-11R-A213-07	1.162268187	1.629707673	1.609273022	1.983760468	1.872014527	1.315804991	11.03771306	Tumor
TCGA-CC-A7IG-01A-11R-A33J-07	1.814276568	2.36677372	2.149758565	3.268797568	0.911978572	3.27345232	21.92817897	Tumor
TCGA-2Y-A9H3-01A-11R-A38B-07	1.796532146	2.653207596	1.937837526	1.881007655	1.07452781	3.926135717	16.183853	Tumor
TCGA-DD-AAEH-01A-11R-A41C-07	0.706421083	1.351753215	1.21389892	0.925007447	3.00815318	2.634189935	5.078313546	Tumor
TCGA-DD-AACJ-01A-11R-A41C-07	1.189296211	2.163240685	1.79218178	1.761821584	1.865617901	1.311154926	9.998827574	Tumor
TCGA-DD-A4NE-01A-11R-A27V-07	0.613905016	1.422909994	0.958285588	1.871182217	2.205315344	2.184279822	10.07438226	Tumor
TCGA-DD-A1EC-01A-21R-A131-07	1.143758404	1.0855131	1.1513416	2.116545375	1.17001454	1.813058773	13.84453487	Tumor
